"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","DIGNE-LES-BAINS (04)","Tous secteurs","Toutes énergies","conso","31195.0","tep"
"2007","DRAGUIGNAN (83)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","DRAGUIGNAN (83)","Tous secteurs","Toutes énergies","conso","47805.1","tep"
"2007","DRAIX (04)","Tous secteurs","Toutes énergies","conso","71.4","tep"
"2007","DRAP (06)","Tous secteurs","Toutes énergies","conso","4472.6","tep"
"2007","DURANUS (06)","Tous secteurs","Toutes énergies","conso","687.8","tep"
"2007","ÉGUILLES (13)","Tous secteurs","Toutes énergies","conso","11690.2","tep"
"2007","EMBRUN (05)","Tous secteurs","Toutes énergies","conso","11007.9","tep"
"2007","ENCHASTRAYES (04)","Tous secteurs","Toutes énergies","conso","2457.8","tep"
"2007","ENSUÈS-LA-REDONNE (13)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","ENSUÈS-LA-REDONNE (13)","Tous secteurs","Toutes énergies","conso","12509.3","tep"
"2007","ENTRAGES (04)","Tous secteurs","Toutes énergies","conso","583.7","tep"
"2007","ENTRAIGUES-SUR-LA-SORGUE (84)","Tous secteurs","Toutes énergies","conso","17002.2","tep"
"2007","ENTRAUNES (06)","Tous secteurs","Toutes énergies","conso","382.4","tep"
"2007","ENTRECASTEAUX (83)","Tous secteurs","Toutes énergies","conso","1719.9","tep"
"2007","ENTRECHAUX (84)","Tous secteurs","Toutes énergies","conso","1225.0","tep"
"2007","ENTREPIERRES (04)","Tous secteurs","Toutes énergies","conso","1479.7","tep"
"2007","ENTREVAUX (04)","Tous secteurs","Toutes énergies","conso","1346.6","tep"
"2007","ENTREVENNES (04)","Tous secteurs","Toutes énergies","conso","241.8","tep"
"2007","ÉOURRES (05)","Tous secteurs","Toutes énergies","conso","169.3","tep"
"2007","ESCRAGNOLLES (06)","Tous secteurs","Toutes énergies","conso","2346.0","tep"
"2007","ESPARRON (05)","Tous secteurs","Toutes énergies","conso","326.4","tep"
"2007","ESPARRON (83)","Tous secteurs","Toutes énergies","conso","417.8","tep"
"2007","ESPARRON-DE-VERDON (04)","Tous secteurs","Toutes énergies","conso","750.3","tep"
"2007","ESPINASSES (05)","Tous secteurs","Toutes énergies","conso","968.9","tep"
"2007","ESTOUBLON (04)","Tous secteurs","Toutes énergies","conso","572.5","tep"
"2007","ÉTOILE-SAINT-CYRICE (05)","Tous secteurs","Toutes énergies","conso","136.9","tep"
"2007","ÉVENOS (83)","Tous secteurs","Toutes énergies","conso","5709.5","tep"
"2007","EYGALIÈRES (13)","Tous secteurs","Toutes énergies","conso","5904.1","tep"
"2007","EYGLIERS (05)","Tous secteurs","Toutes énergies","conso","1887.5","tep"
"2007","EYGUIÈRES (13)","Tous secteurs","Toutes énergies","conso","8508.7","tep"
"2007","EYRAGUES (13)","Tous secteurs","Toutes énergies","conso","5858.4","tep"
"2007","ÈZE (06)","Tous secteurs","Toutes énergies","conso","11397.2","tep"
"2007","FALICON (06)","Tous secteurs","Toutes énergies","conso","2472.1","tep"
"2007","FAUCON (84)","Tous secteurs","Toutes énergies","conso","666.6","tep"
"2007","FAUCON-DE-BARCELONNETTE (04)","Tous secteurs","Toutes énergies","conso","573.0","tep"
"2007","FAUCON-DU-CAIRE (04)","Tous secteurs","Toutes énergies","conso","119.7","tep"
"2007","FAYENCE (83)","Tous secteurs","Toutes énergies","conso","7501.2","tep"
"2007","FIGANIÈRES (83)","Tous secteurs","Toutes énergies","conso","3470.4","tep"
"2007","FLASSAN (84)","Tous secteurs","Toutes énergies","conso","649.2","tep"
"2007","FLASSANS-SUR-ISSOLE (83)","Tous secteurs","Toutes énergies","conso","6453.4","tep"
"2007","FLAYOSC (83)","Tous secteurs","Toutes énergies","conso","6144.6","tep"
"2007","FONTAINE-DE-VAUCLUSE (84)","Tous secteurs","Toutes énergies","conso","1475.3","tep"
"2007","FONTAN (06)","Tous secteurs","Toutes énergies","conso","863.3","tep"
"2007","FONTIENNE (04)","Tous secteurs","Toutes énergies","conso","207.6","tep"
"2007","FONTVIEILLE (13)","Tous secteurs","Toutes énergies","conso","5603.1","tep"
"2007","FORCALQUEIRET (83)","Tous secteurs","Toutes énergies","conso","3592.2","tep"
"2007","FORCALQUIER (04)","Tous secteurs","Toutes énergies","conso","6129.9","tep"
"2007","FOREST-SAINT-JULIEN (05)","Tous secteurs","Toutes énergies","conso","874.6","tep"
